epoch,accuracy,loss,top3_acc,top5_acc,val_accuracy,val_loss,val_top3_acc,val_top5_acc
0,0.06104380264878273,3.3092143535614014,0.17371363937854767,0.28390640020370483,0.08326180279254913,3.1158738136291504,0.23507867753505707,0.34546494483947754
1,0.07264433056116104,3.1200034618377686,0.20466473698616028,0.3219453692436218,0.08429184556007385,3.055305242538452,0.23290415108203888,0.36772531270980835
2,0.08699171245098114,3.0588481426239014,0.2359837144613266,0.3655025362968445,0.10340486466884613,2.9827752113342285,0.27771100401878357,0.4065808355808258
3,0.09545298665761948,3.0153751373291016,0.25310248136520386,0.3824005424976349,0.09819742292165756,2.9926373958587646,0.26403433084487915,0.38655221462249756
4,0.09861676394939423,2.9887683391571045,0.26225045323371887,0.3937312960624695,0.10506437718868256,2.9472808837890625,0.28034335374832153,0.41653791069984436
5,0.1049688532948494,2.9556527137756348,0.2731642723083496,0.4099671244621277,0.1054077222943306,2.907163619995117,0.2905293405056,0.428898423910141
6,0.11269436776638031,2.914215564727783,0.28682494163513184,0.4309118688106537,0.10832618176937103,2.9313669204711914,0.2860085964202881,0.42769670486450195
7,0.1258154660463333,2.856647253036499,0.31704026460647583,0.4665718376636505,0.12074392288923264,2.8426308631896973,0.3215450644493103,0.4717596471309662
8,0.13513512909412384,2.788723945617676,0.3439446687698364,0.49553635716438293,0.16532188653945923,2.682755708694458,0.3943347632884979,0.547467827796936
9,0.1443321704864502,2.738844156265259,0.3615048825740814,0.5171187520027161,0.1544492095708847,2.714372396469116,0.3707582354545593,0.5211445093154907
10,0.15617795288562775,2.6957626342773438,0.37698042392730713,0.5349732637405396,0.1692131608724594,2.617095708847046,0.41144493222236633,0.5703576803207397
11,0.16341295838356018,2.65578031539917,0.39149948954582214,0.552239179611206,0.11422031372785568,3.0493123531341553,0.2983691096305847,0.43130186200141907
12,0.17062343657016754,2.622363328933716,0.40972188115119934,0.5692598223686218,0.17207439243793488,2.6995460987091064,0.3977682292461395,0.5499857068061829
13,0.17805464565753937,2.5952541828155518,0.41963016986846924,0.5817432403564453,0.18540772795677185,2.5896108150482178,0.4318740963935852,0.5810586810112
14,0.18872320652008057,2.5636115074157715,0.43245697021484375,0.5953303575515747,0.20171673595905304,2.5474421977996826,0.4512160122394562,0.6008583903312683
15,0.19779761135578156,2.539515733718872,0.4455535411834717,0.6034728288650513,0.19399142265319824,2.592449903488159,0.4329613745212555,0.585350513458252
16,0.20110854506492615,2.5174057483673096,0.45332810282707214,0.6100946664810181,0.20497854053974152,2.5251944065093994,0.4561373293399811,0.6081831455230713
17,0.20633246004581451,2.495652437210083,0.45916515588760376,0.6164222359657288,0.22134478390216827,2.482182025909424,0.47227469086647034,0.6214592456817627
18,0.21224309504032135,2.480530023574829,0.466277539730072,0.6223328709602356,0.19776824116706848,2.5246570110321045,0.4430328905582428,0.5981115698814392
19,0.21962524950504303,2.44826602935791,0.4771668314933777,0.6346936821937561,0.2041773945093155,2.5550079345703125,0.44675251841545105,0.6025751233100891
20,0.22752244770526886,2.429896116256714,0.48589786887168884,0.6409476399421692,0.23233190178871155,2.433800220489502,0.490529328584671,0.643948495388031
21,0.2302202433347702,2.410334825515747,0.4948005974292755,0.6502673029899597,0.21939913928508759,2.4863359928131104,0.4751359224319458,0.6284406185150146
22,0.2336292713880539,2.3930132389068604,0.498479425907135,0.6536027789115906,0.21768240630626678,2.4996187686920166,0.46472102403640747,0.6191702485084534
23,0.24275273084640503,2.3675568103790283,0.5091724991798401,0.6634129881858826,0.25739628076553345,2.3539087772369385,0.5158798098564148,0.6701573729515076
24,0.24903124570846558,2.3534507751464844,0.5124589204788208,0.6671653389930725,0.2497854083776474,2.3673529624938965,0.5114163160324097,0.663690984249115
25,0.25246480107307434,2.339658498764038,0.5197429656982422,0.6732966899871826,0.2568812668323517,2.3541009426116943,0.522288978099823,0.6723891496658325
26,0.25746798515319824,2.3214926719665527,0.5296512246131897,0.6802864670753479,0.23313304781913757,2.4481728076934814,0.48658081889152527,0.6347353458404541
