epoch,accuracy,loss,top3_acc,top5_acc,val_accuracy,val_loss,val_top3_acc,val_top5_acc
0,0.07168783992528915,3.774498224258423,0.19608083367347717,0.2946240305900574,0.100257508456707,3.346513509750366,0.2690128684043884,0.39278969168663025
1,0.09415313601493835,3.4017794132232666,0.25312697887420654,0.3723941743373871,0.10140199959278107,3.2908709049224854,0.26489269733428955,0.3864377737045288
2,0.10146171599626541,3.330880641937256,0.268847793340683,0.39414823055267334,0.11765379458665848,3.231095790863037,0.2866380512714386,0.4208869934082031
3,0.10840241611003876,3.2724759578704834,0.28133124113082886,0.4054054021835327,0.11856938153505325,3.1705219745635986,0.30386266112327576,0.43353360891342163
4,0.11519595980644226,3.2213029861450195,0.29276010394096375,0.42340707778930664,0.12051501870155334,3.172550678253174,0.3050643801689148,0.433590829372406
5,0.1222347542643547,3.1665873527526855,0.30561143159866333,0.4376318156719208,0.12320458143949509,3.203019142150879,0.3198283314704895,0.4489842653274536
6,0.12635503709316254,3.127641201019287,0.3156668543815613,0.4482022821903229,0.12354792654514313,3.1833982467651367,0.3026609420776367,0.43587982654571533
7,0.13268259167671204,3.0928733348846436,0.3228527903556824,0.4601952135562897,0.12143061310052872,3.175224781036377,0.3024320602416992,0.4489842653274536
8,0.13278070092201233,3.0648531913757324,0.3300142288208008,0.466866135597229,0.14020028710365295,3.015403985977173,0.3395708203315735,0.48017168045043945
9,0.1383724957704544,3.036790370941162,0.33987346291542053,0.4784911870956421,0.1293848305940628,3.108095645904541,0.316165953874588,0.461859792470932
10,0.1408250331878662,3.0153191089630127,0.3419090509414673,0.4867807924747467,0.1184549331665039,3.1158838272094727,0.3097567856311798,0.4484120309352875
11,0.1435718834400177,2.9904744625091553,0.3500024378299713,0.49335360527038574,0.13974249362945557,3.0133934020996094,0.34369099140167236,0.4833190143108368
12,0.1505616307258606,2.9719512462615967,0.3562564253807068,0.4959287643432617,0.1488984227180481,2.991565704345703,0.35610872507095337,0.5042060017585754
13,0.15058615803718567,2.9498825073242188,0.3612596392631531,0.5048069953918457,0.15713876485824585,2.9624335765838623,0.3710443377494812,0.5080972909927368
14,0.15573650598526,2.9287734031677246,0.3659439980983734,0.5122382044792175,0.14220315217971802,3.0490505695343018,0.33344778418540955,0.4727324843406677
15,0.15993034839630127,2.9087066650390625,0.37722569704055786,0.5211654305458069,0.14323319494724274,3.0081584453582764,0.35319027304649353,0.4942489266395569
16,0.16081325709819794,2.8892698287963867,0.3782312273979187,0.5239613652229309,0.17402002215385437,2.8405957221984863,0.3928469121456146,0.5359656810760498
17,0.16785205900669098,2.8649113178253174,0.38612842559814453,0.5342130064964294,0.16057224571704865,2.919517755508423,0.3735622465610504,0.520686686038971
18,0.16723892092704773,2.852201461791992,0.390518456697464,0.5367881655693054,0.16572245955467224,2.8802027702331543,0.38437768816947937,0.5337911248207092
19,0.17101584374904633,2.836818218231201,0.3947368562221527,0.5435571670532227,0.15067239105701447,3.0135295391082764,0.35181689262390137,0.4954506456851959
20,0.172364741563797,2.815337657928467,0.4001324474811554,0.5483641624450684,0.17150214314460754,2.840517044067383,0.3901001513004303,0.5427753925323486
21,0.17780938744544983,2.7984533309936523,0.4038112461566925,0.5532447099685669,0.17533619701862335,2.867722511291504,0.39622318744659424,0.5386552214622498
22,0.17832441627979279,2.782813549041748,0.40950116515159607,0.5588365197181702,0.17476394772529602,2.872392177581787,0.39044350385665894,0.5410014390945435
23,0.1795261651277542,2.772015333175659,0.4101388156414032,0.5626869797706604,0.1591416299343109,2.9850399494171143,0.3716738224029541,0.5174821019172668
24,0.18188060820102692,2.7564516067504883,0.41658899188041687,0.5672487616539001,0.1754506379365921,2.839796543121338,0.39879828691482544,0.543175995349884
25,0.18771766126155853,2.7366080284118652,0.4214695692062378,0.5752930641174316,0.17917023599147797,2.812893867492676,0.4092131555080414,0.5595993995666504
26,0.18828174471855164,2.7202401161193848,0.4257124662399292,0.5808358192443848,0.16555078327655792,2.9222793579101562,0.38832616806030273,0.5353361964225769
27,0.18889488279819489,2.712214231491089,0.4287536144256592,0.5814734697341919,0.17321889102458954,2.8694798946380615,0.3956509232521057,0.5433476567268372
28,0.19561485946178436,2.6872057914733887,0.44001078605651855,0.5935400128364563,0.17384836077690125,2.8493220806121826,0.40154507756233215,0.5513590574264526
29,0.19593368470668793,2.6815226078033447,0.43795064091682434,0.5924118161201477,0.17745350301265717,2.8249430656433105,0.40389126539230347,0.5538197159767151
30,0.19760140776634216,2.6643338203430176,0.44265952706336975,0.5982979536056519,0.18306151032447815,2.8009934425354004,0.4193991422653198,0.5705293416976929
31,0.1969882696866989,2.651848316192627,0.44604405760765076,0.5997449159622192,0.17413447797298431,2.8818929195404053,0.396738201379776,0.5439198613166809
32,0.2028498500585556,2.640247344970703,0.45107176899909973,0.6059008240699768,0.18523605167865753,2.8010976314544678,0.4175107181072235,0.5666952729225159
33,0.20338942110538483,2.6329565048217773,0.4537205100059509,0.6092853546142578,0.1810014247894287,2.8261003494262695,0.4136194586753845,0.5631473660469055
34,0.20670035481452942,2.6078453063964844,0.4602687954902649,0.6152204871177673,0.17699570953845978,2.823814868927002,0.40457797050476074,0.5554220080375671
35,0.20782852172851562,2.602799415588379,0.4631873369216919,0.6187276244163513,0.1833476424217224,2.814988374710083,0.41264665126800537,0.5594849586486816
36,0.21057537198066711,2.594823122024536,0.4663756191730499,0.6206896305084229,0.1857510656118393,2.8000762462615967,0.41762518882751465,0.5692131519317627
37,0.21192426979541779,2.5795018672943115,0.4721636474132538,0.6279491782188416,0.1866094470024109,2.799957752227783,0.41505005955696106,0.5685264468193054
38,0.21707460284233093,2.5669424533843994,0.4735615849494934,0.6294452548027039,0.17768239974975586,2.852724313735962,0.4010872542858124,0.5543919801712036
39,0.21660862863063812,2.5551180839538574,0.47804972529411316,0.6356501579284668,0.18363375961780548,2.8337838649749756,0.4132188856601715,0.5652074217796326
40,0.2173934429883957,2.5512378215789795,0.4796193540096283,0.6378083825111389,0.18472102284431458,2.8112032413482666,0.4181402027606964,0.568469226360321
41,0.21977239847183228,2.5343821048736572,0.4829303026199341,0.641536295413971,0.17150214314460754,3.016090154647827,0.3927324712276459,0.5359084606170654
42,0.22327953577041626,2.5274174213409424,0.48712414503097534,0.6448226571083069,0.17190271615982056,2.907763719558716,0.40183117985725403,0.5545636415481567
43,0.22386814653873444,2.523818016052246,0.48768824338912964,0.6457301378250122,0.18409155309200287,2.8076717853546143,0.4152217507362366,0.5688126087188721
44,0.22784127295017242,2.503056287765503,0.49041056632995605,0.6520331501960754,0.18695278465747833,2.838498830795288,0.41785407066345215,0.5618311762809753
45,0.22732624411582947,2.4981002807617188,0.4941384196281433,0.655393123626709,0.18300428986549377,2.8866934776306152,0.41144493222236633,0.5602861046791077
46,0.23291803896427155,2.4874484539031982,0.5002207159996033,0.6549516916275024,0.1581115871667862,3.2589268684387207,0.36131617426872253,0.4997424781322479
47,0.2310786247253418,2.4865574836730957,0.5013734102249146,0.6571589708328247,0.19170242547988892,2.8383214473724365,0.4233476519584656,0.578826904296875
48,0.2338009476661682,2.4769701957702637,0.5032618641853333,0.6600039005279541,0.179971382021904,2.904496669769287,0.40972816944122314,0.5602861046791077
49,0.2336292713880539,2.474738836288452,0.5045126676559448,0.663339376449585,0.17110157012939453,2.937446355819702,0.3919885456562042,0.5391130447387695
