epoch,decade_output_accuracy,decade_output_loss,decade_output_top3_acc,decade_output_top5_acc,loss,style_output_accuracy,style_output_loss,style_output_top3_acc,style_output_top5_acc,val_decade_output_accuracy,val_decade_output_loss,val_decade_output_top3_acc,val_decade_output_top5_acc,val_loss,val_style_output_accuracy,val_style_output_loss,val_style_output_top3_acc,val_style_output_top5_acc
10,0.1531858593225479,0.0658857449889183,0.36098983883857727,0.5053955912590027,0.21309278905391693,0.19875410199165344,0.1472068876028061,0.4512189030647278,0.6080099940299988,0.15141630172729492,0.06432084739208221,0.3558225929737091,0.49945637583732605,0.20918676257133484,0.20217452943325043,0.14486590027809143,0.4535622298717499,0.6064663529396057
11,0.15409329533576965,0.06555897742509842,0.363221675157547,0.5115759968757629,0.21156847476959229,0.20169715583324432,0.14600981771945953,0.45462796092033386,0.6135036945343018,0.1394563615322113,0.06703193485736847,0.33453506231307983,0.4722174406051636,0.21998392045497894,0.17344778776168823,0.15295200049877167,0.4064091444015503,0.5468383431434631
12,0.1576249599456787,0.06511315703392029,0.3698435425758362,0.5161867737770081,0.20963537693023682,0.21292981505393982,0.14452219009399414,0.4670378267765045,0.6269190907478333,0.16349069774150848,0.0629032701253891,0.3817453384399414,0.5320743918418884,0.2038523107767105,0.221058651804924,0.14094896614551544,0.4860658049583435,0.6389127373695374
13,0.16326580941677094,0.06459435820579529,0.37705400586128235,0.5242801904678345,0.20793189108371735,0.22060626745224,0.14333753287792206,0.4781968891620636,0.6367537975311279,0.1606867015361786,0.06393001228570938,0.37281832098960876,0.5204005837440491,0.20700569450855255,0.21493561565876007,0.14307570457458496,0.4685550928115845,0.6190558075904846
14,0.16375631093978882,0.06412803381681442,0.3850002586841583,0.5336979627609253,0.20588834583759308,0.22798842191696167,0.14176040887832642,0.49313288927078247,0.6476921439170837,0.1731044352054596,0.0623275525867939,0.3962804079055786,0.547925591468811,0.20049326121807098,0.24286122620105743,0.13816560804843903,0.5071244835853577,0.6580829620361328
15,0.16817089915275574,0.06369148194789886,0.3896600902080536,0.5394368767738342,0.20421870052814484,0.23470839858055115,0.1405271589756012,0.5005395412445068,0.6533084511756897,0.1591988503932953,0.06454984843730927,0.3675536513328552,0.5101001262664795,0.20919163525104523,0.22266094386577606,0.14464181661605835,0.47462087869644165,0.6193991303443909
16,0.16611075401306152,0.06336025893688202,0.39365771412849426,0.5430421233177185,0.20310591161251068,0.2400549352169037,0.1397455632686615,0.5091480016708374,0.6617943048477173,0.14512160420417786,0.06604354828596115,0.3566809594631195,0.5013447999954224,0.21614588797092438,0.1955936998128891,0.15010231733322144,0.43278971314430237,0.5832903981208801
17,0.17045176029205322,0.0630403533577919,0.3992004692554474,0.5512581467628479,0.20176735520362854,0.24704468250274658,0.138727068901062,0.5162603855133057,0.6687595248222351,0.14723891019821167,0.0672338455915451,0.35118740797042847,0.49064376950263977,0.2198571264743805,0.19736766815185547,0.15262329578399658,0.4273533523082733,0.5673819780349731
18,0.1726345270872116,0.06268677115440369,0.4026830792427063,0.5550841093063354,0.2002856284379959,0.253274142742157,0.13759876787662506,0.5207730531692505,0.6737381815910339,0.1700715273618698,0.06204144284129143,0.405264675617218,0.5563948750495911,0.19884727895259857,0.25178825855255127,0.13680587708950043,0.524978518486023,0.6703862547874451
19,0.177932009100914,0.06235099211335182,0.41234609484672546,0.5624417662620544,0.1988646239042282,0.25803208351135254,0.1365136057138443,0.5317604541778564,0.6830578446388245,0.16211731731891632,0.06373423337936401,0.3792274594306946,0.5257224440574646,0.20626498758792877,0.22786837816238403,0.14253079891204834,0.4815450608730316,0.6349070072174072
