epoch,decade_output_accuracy,decade_output_loss,loss,style_output_accuracy,style_output_loss,val_decade_output_accuracy,val_decade_output_loss,val_loss,val_style_output_accuracy,val_style_output_loss
0,0.060238316655159,0.2843358516693115,0.7683448791503906,0.1411784142255783,0.4840087890625,0.09262105822563171,0.14064465463161469,0.4912569224834442,0.1372021585702896,0.3506121337413788
1,0.10268519073724747,0.1638101041316986,0.5383444428443909,0.18082477152347565,0.374534547328949,0.15129387378692627,0.1363382786512375,0.47860854864120483,0.17614655196666718,0.3422703742980957
2,0.12410081923007965,0.15073999762535095,0.5024232864379883,0.2141013741493225,0.35168319940567017,0.16448885202407837,0.12692053616046906,0.44556212425231934,0.26992058753967285,0.31864163279533386
3,0.1485365927219391,0.14266547560691833,0.48079875111579895,0.2386469691991806,0.3381336033344269,0.1583397388458252,0.12768341600894928,0.45200079679489136,0.23648475110530853,0.32431742548942566
4,0.15979352593421936,0.13740520179271698,0.46585652232170105,0.25978803634643555,0.32845163345336914,0.17409685254096985,0.13093261420726776,0.45410096645355225,0.2744043171405792,0.3231683373451233
