epoch,decade_output_accuracy,decade_output_loss,decade_output_top3_acc,decade_output_top5_acc,loss,style_output_accuracy,style_output_loss,style_output_top3_acc,style_output_top5_acc,val_decade_output_accuracy,val_decade_output_loss,val_decade_output_top3_acc,val_decade_output_top5_acc,val_loss,val_style_output_accuracy,val_style_output_loss,val_style_output_top3_acc,val_style_output_top5_acc
0,0.07301221042871475,3.7771434783935547,0.19566389918327332,0.3018835484981537,7.059787750244141,0.0606023445725441,3.2826437950134277,0.17930543422698975,0.28596654534339905,0.09659513831138611,3.531442403793335,0.2579685151576996,0.3783690929412842,6.597520351409912,0.09098712354898453,3.0660746097564697,0.2581402063369751,0.3802575170993805
1,0.09135723859071732,3.442387104034424,0.2515818774700165,0.37300729751586914,6.5132293701171875,0.08610879629850388,3.0708465576171875,0.2389022409915924,0.3653063178062439,0.1126752495765686,3.3216068744659424,0.2742203176021576,0.3974249064922333,6.313433647155762,0.11227467656135559,2.9918243885040283,0.28114449977874756,0.4184263348579407
2,0.10236915946006775,3.336735725402832,0.27669593691825867,0.4013341963291168,6.3273420333862305,0.10205032676458359,2.9906063079833984,0.2718644142150879,0.40915778279304504,0.08904148638248444,3.4447197914123535,0.2585979998111725,0.3802575170993805,6.559619903564453,0.08755365014076233,3.114895820617676,0.24480687081813812,0.3757367730140686
3,0.11284151673316956,3.2691352367401123,0.28736448287963867,0.4174964427947998,6.201662063598633,0.1135527566075325,2.932528257369995,0.29379016160964966,0.4384656846523285,0.10088697820901871,3.361826181411743,0.255336195230484,0.37396278977394104,6.391242504119873,0.10535050183534622,3.0294151306152344,0.26918455958366394,0.3939341902732849
4,0.1216706708073616,3.2149336338043213,0.30068179965019226,0.43123069405555725,6.092299461364746,0.12019914388656616,2.877366542816162,0.31483298540115356,0.4620836675167084,0.09653791040182114,3.2563424110412598,0.2658655345439911,0.40068668127059937,6.224997043609619,0.10014306008815765,2.968655586242676,0.2735908329486847,0.4159656763076782
5,0.12454015016555786,3.167881488800049,0.30813753604888916,0.4423161745071411,5.992834568023682,0.128096342086792,2.824951171875,0.32815030217170715,0.48324912786483765,0.12389127165079117,3.1835238933563232,0.30746781826019287,0.44080114364624023,6.037991046905518,0.12286122888326645,2.8544697761535645,0.3266952931880951,0.4873819649219513
6,0.12964144349098206,3.118485689163208,0.3173345625400543,0.45283758640289307,5.885112762451172,0.1386667937040329,2.7666287422180176,0.3530436158180237,0.5121645927429199,0.1068955659866333,3.287510871887207,0.2737625241279602,0.4005722403526306,6.2481303215026855,0.08595135807991028,2.960618495941162,0.24326179921627045,0.3605722486972809
7,0.1363859325647354,3.089860677719116,0.32824838161468506,0.46380046010017395,5.823651313781738,0.14634326100349426,2.733795166015625,0.36535537242889404,0.5225633978843689,0.0996280387043953,3.282637119293213,0.26535049080848694,0.3933047354221344,6.251484394073486,0.09739627689123154,2.9688503742218018,0.25052931904792786,0.380886971950531
8,0.1352577656507492,3.0749082565307617,0.3283955454826355,0.4650022089481354,5.786439418792725,0.1463923156261444,2.7115323543548584,0.3738166391849518,0.53512042760849,0.14380542933940887,2.9980626106262207,0.3416881263256073,0.48452073335647583,5.6210761070251465,0.17470672726631165,2.6230146884918213,0.4093848466873169,0.5677825212478638
9,0.13731789588928223,3.049888849258423,0.3348947763442993,0.47456711530685425,5.73300838470459,0.15752685070037842,2.6831235885620117,0.386422723531723,0.5468435883522034,0.14220315217971802,3.0481371879577637,0.3385407626628876,0.4732474982738495,5.733753204345703,0.16120171546936035,2.6856160163879395,0.38872674107551575,0.551759660243988
10,0.14013832807540894,3.026458978652954,0.34051111340522766,0.47787806391716003,5.679972171783447,0.16535046696662903,2.653517007827759,0.39856281876564026,0.5606759190559387,0.14100143313407898,3.041428327560425,0.33619457483291626,0.47416308522224426,5.731048583984375,0.16377682983875275,2.6896209716796875,0.3997710943222046,0.5610300302505493
11,0.14379261434078217,3.0089199542999268,0.344140887260437,0.48682984709739685,5.64644193649292,0.1687840223312378,2.637521266937256,0.40650904178619385,0.5671015977859497,0.1373390555381775,3.0443150997161865,0.33281829953193665,0.4745636582374573,5.70929479598999,0.15942774713039398,2.6649773120880127,0.39044350385665894,0.5404291749000549
12,0.14707902073860168,2.983778238296509,0.3514985144138336,0.49325549602508545,5.590714931488037,0.17324766516685486,2.6069324016571045,0.4162946939468384,0.5772305727005005,0.15256080031394958,2.998716354370117,0.3449499309062958,0.49127325415611267,5.639739036560059,0.17270386219024658,2.6410224437713623,0.41419169306755066,0.570701003074646
13,0.15257272124290466,2.958965301513672,0.36030313372612,0.5013489127159119,5.533956050872803,0.18165987730026245,2.5749869346618652,0.42870455980300903,0.5911610126495361,0.14472103118896484,3.0415687561035156,0.34500715136528015,0.48188841342926025,5.707446098327637,0.15839770436286926,2.6658763885498047,0.40177395939826965,0.5507296323776245
14,0.15156717598438263,2.9536232948303223,0.3596164286136627,0.5032864212989807,5.524122714996338,0.18271447718143463,2.5704970359802246,0.43123069405555725,0.595305860042572,0.16188840568065643,2.936774253845215,0.3634907007217407,0.506380558013916,5.481099605560303,0.19811159372329712,2.544325113296509,0.45756796002388,0.6128755211830139
15,0.15438759326934814,2.9324216842651367,0.36459508538246155,0.5111345648765564,5.478553771972656,0.19100406765937805,2.546126127243042,0.44265952706336975,0.6016088724136353,0.1565665304660797,2.9027950763702393,0.37825465202331543,0.5230329036712646,5.413527965545654,0.20612303912639618,2.5107321739196777,0.4718741178512573,0.6238054633140564
16,0.158311665058136,2.919419050216675,0.36967185139656067,0.5160641670227051,5.451450824737549,0.19512434303760529,2.532029390335083,0.452690452337265,0.6130377054214478,0.1565665304660797,2.952657461166382,0.36646637320518494,0.5064949989318848,5.535280704498291,0.18844063580036163,2.5826241970062256,0.43010014295578003,0.5888411998748779
17,0.15634962916374207,2.902122735977173,0.3735223412513733,0.519693911075592,5.411177635192871,0.20051993429660797,2.50905442237854,0.4582822322845459,0.6214499473571777,0.16274678707122803,2.941464424133301,0.36686694622039795,0.513705313205719,5.483933925628662,0.20120172202587128,2.5424699783325195,0.44824033975601196,0.6098998785018921
18,0.1599058210849762,2.8849806785583496,0.37688231468200684,0.5241085290908813,5.377649307250977,0.20623436570167542,2.4926722049713135,0.4631137549877167,0.6262814402580261,0.16635192930698395,2.8711955547332764,0.3836909830570221,0.5296709537506104,5.331727504730225,0.2157367616891861,2.460531234741211,0.4749070107936859,0.6342775225639343
19,0.16174523532390594,2.869141101837158,0.378329336643219,0.5281552076339722,5.343203067779541,0.2113356590270996,2.4740617275238037,0.4758424460887909,0.6336390972137451,0.1599999964237213,2.9097537994384766,0.37453505396842957,0.5237768292427063,5.41758918762207,0.21104435622692108,2.5078353881835938,0.4588841199874878,0.611788272857666
20,0.1637808382511139,2.8579533100128174,0.3847304582595825,0.5331093072891235,5.319093704223633,0.21754059195518494,2.461141347885132,0.4795948266983032,0.6396232843399048,0.16057224571704865,2.934659004211426,0.37567955255508423,0.5198855400085449,5.477684020996094,0.202231764793396,2.543025255203247,0.45316165685653687,0.6061230301856995
